timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-21T14:11:42,codecarbon,4471c3de-b6c7-4d35-b130-c77cda15f4f0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,958.978329974998,0.0179289829256944,1.869592082040256e-05,19.08142857142857,176.95969669783756,20.0,0.0049058851035024,0.0443783688359999,0.0049280445313834,0.0542122984708858,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
2025-06-21T14:12:10,codecarbon,24aaa5e6-71ff-4e06-a6db-b8765bc331fe,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,23.691010331000143,0.0001249260492567,5.273141479040937e-06,19.0,13.406684918895706,20.0,0.0001197220316083,0.0001319995500441,0.0001260203291499,0.0003777419108025,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
2025-06-21T14:35:48,codecarbon,62472a47-be00-4a66-bbb8-dc28d4ee3cbd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1413.7966678879966,0.0218716104041412,1.547012445347899e-05,19.0,154.80199453404745,20.0,0.0072988298201165,0.0522077887106409,0.0066270978201554,0.0661337163509128,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
2025-06-21T14:36:34,codecarbon,79cfae08-ee9e-4f57-ad44-ca05a8392bdc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,41.580348153998784,0.0002467311538684,5.933840499716211e-06,19.0,16.630196402837154,20.0,0.0002135374862772,0.0002209782323383,0.0003115312273277,0.0007460469459433,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
2025-06-21T15:05:09,codecarbon,c15cb11a-92b4-4f4a-89cc-7e66d6ac2e76,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1710.598843030995,0.0271570709071158,1.587576831222245e-05,19.0,180.69580309312383,20.0,0.008725213144059,0.0660030136357026,0.0073872640828943,0.0821154908626559,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
2025-06-21T15:28:45,codecarbon,88ef00a7-5597-423e-8cc6-0b48d6058725,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1184.1698946629986,0.018960640016759,1.6011756507418242e-05,19.027142857142856,177.4106962065676,20.0,0.006082957253078,0.0444107694174764,0.0068380182503721,0.0573317449209267,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
2025-06-21T15:29:35,codecarbon,5eaa97a7-09c7-4454-8405-4649ad567d0b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,45.733036012999946,0.0002589842269666,5.662957230589764e-06,19.0,14.944894123691112,20.0,0.0002360212809411,0.0002288279608411,0.0003182476170722,0.0007830968588544,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
2025-06-21T16:00:47,codecarbon,b592be4e-9585-4e45-8570-5d3769b986b7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,886.7350804599992,0.0178484306061998,2.012825589006908e-05,19.095,79.38698639533399,20.0,0.0045269092331699,0.0446833465799816,0.0047584746647778,0.0539687304779294,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
2025-06-21T16:01:15,codecarbon,bc065249-5d58-44ee-9f60-24bb23b276b1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,23.048091142001795,0.0001327072341081,5.757840564344176e-06,19.0,13.936537620711748,20.0,0.0001163168611663,0.0001625206855724,0.0001224325205333,0.0004012700672721,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
2025-06-21T16:18:08,codecarbon,222b5ff3-a105-46c8-bcdb-f86f58d537dc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1008.379507824,0.0204664326044168,2.0296359104501984e-05,19.0,154.1320407132712,20.0,0.0051494097809977,0.0513235199476707,0.0054119165887889,0.0618848463174573,Italy,ITA,the marches,,,Linux-6.6.87.1-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.10.18,3.0.2,20,12th Gen Intel(R) Core(TM) i7-12700K,1,1 x NVIDIA GeForce RTX 4070,13.4471,43.2996,23.46795654296875,machine,N,1.0
